ID,proper,dist,absmag,ci,rarad,decrad,H_1,H_2,b,l,cos(l-33deg),sin(l/33deg),rad
40609,,28.0191,7.583,1.132,2.176164751,-0.2653317696,,,0.2081088198,3.293870094,-0.9115647049,-0.4022852853,-2.725986342
40659,,22.9305,6.548,0.901,2.178683674,0.02336757925,,,0.3594626571,3.550333835,-0.9860448229,-0.1558396411,-2.984843987
40728,,18.2715,3.821,0.487,2.181942383,0.4750385986,,,0.5422154069,3.42404987,-0.9572247971,0.247843775,2.888237327
40795,,24.2601,7.826,1.279,2.185685431,0.2455910798,,,0.46479729,3.670942373,-0.998912073,0.04168614315,3.09988531
40837,,28.0662,4.929,0.692,2.188073569,-0.6929901238,,,-0.02540804241,2.933081427,-0.7077336619,-0.706251316,-2.357242836
41014,,26.2467,7.425,1.178,2.19699854,0.3813432912,,,0.5254831331,3.532330543,-0.9828880026,0.15935165,2.980865199
41094,,26.617,3.484,0.478,2.20166121,-0.06547149274,,,0.3352578341,3.45619529,-0.9660297998,-0.2440427013,-2.894145494
41366,,22.2519,4.583,0.624,2.214880284,0.7967949318,,,0.6284060364,3.049878276,-0.7852389565,0.5009056858,2.573769078
41436,,19.6773,9.29,1.568,2.218186852,0.6111524355,,,0.6059286592,3.276035047,-0.9040871199,0.3512689157,2.771009352
41572,,19.7355,8.814,1.345,2.22500273,1.077317681,,,0.6240879334,2.703016376,-0.527979828,0.6891689514,2.224528913
41684,,26.3505,9.086,1.387,2.231228345,-0.1053099071,,,0.339748274,3.403902048,-0.9512012357,-0.2909328693,-2.844769902
41702,,28.2247,5.007,0.73,2.232205169,0.6102757334,,,0.6170224453,3.279816393,-0.9056966038,0.3457565201,2.776910754
41706,,11.0656,11.68,1.85,2.232391508,0.3384943585,,,0.5415996352,3.592384628,-0.9921717103,0.1070087889,3.034154858
41807,,12.2085,5.947,0.78,2.23777449,-0.5497935975,,,0.09149101919,3.025193279,-0.7697165055,-0.6357158808,-2.451251909
41955,,21.1372,5.695,0.791,2.245049711,-0.0126722545,,,0.3994188909,3.481338516,-0.9722215593,-0.2156387413,-2.923326097
42026,,28.4819,6.467,0.923,2.249142237,0.7285050205,,,0.6473827882,3.137169662,-0.8362307656,0.4374216858,2.659646261
42053,,25.1256,3.909,0.53,2.250818425,0.1155446308,,,0.4663992724,3.601996822,-0.9933262383,-0.1030196242,-3.038250346
42054,,26.2398,5.155,0.71,2.250840017,0.1155892416,,,0.4664388317,3.602030132,-0.9933300797,-0.1029880188,-3.038282222
42101,,13.776,8.584,1.417,2.253397536,1.174521324,,,0.6176382878,2.582816282,-0.4223351484,0.738973578,2.09000827
42148,,18.9609,10.411,1.563,2.25641734,0.2640563971,,,0.5349254415,3.682778702,-0.9993940556,0.02994462373,3.111638836
42172,,27.4048,4.341,0.598,2.257295991,-0.7007089524,,,0.01268265981,2.895314222,-0.6805535724,-0.7326393984,-2.319354327
42214,,23.9751,4.841,0.655,2.259495567,-0.1188025535,,,0.3563203073,3.37582799,-0.9421647055,-0.3140983408,-2.819800605
42299,,24.8324,5.925,0.897,2.26458297,0.1213956378,,,0.4812276298,3.600781493,-0.9931853305,-0.1033092941,-3.037947244
42311,,19.3986,3.611,0.72,2.265140179,-0.395524333,,,0.2031665437,3.135626212,-0.835383376,-0.538362479,-2.5691292
42319,,14.3554,4.845,0.618,2.265417447,1.134828902,,,0.6314472002,2.629079331,-0.4638029832,0.7151064628,2.146171903
42372,,28.0505,6.17,0.81,2.26781385,0.100714853,,,0.4744920929,3.578466567,-0.9903375666,-0.1233572651,-3.0176701
42380,,18.1389,6.317,0.832,2.268258476,0.2011085731,,,0.5197022803,3.680474678,-0.999311207,-0.03220978306,-3.109371824
